"geoid","msa","name","pop","pop_child","pop_inst","house","house_fam","house_fam_child","house_child","house_senior","house_size","house_fam_size","units","units_occ","units_vac","units_vac_rent","units_sale","units_sold","units_vac_vacation","units_vac_other","units_occ_own","units_occ_own_pop","units_occ_own_size","units_occ_rent","units_occ_rent_pop","units_occ_rent_size"
"310M100US22100",22100,"Farmington, MO  Micro Area",65359,16520,6389,23981,15944,6903,7863,6502,2.45,2.95,28458,23981,4477,745,412,172,2089,1020,16402,41408,2.52,7579,17299,2.28
"310M100US22140",22140,"Farmington, NM  Metro Area",130044,42232,1164,44404,32457,14917,17987,10291,2.89,3.38,49341,44404,4937,1155,419,149,1329,1801,32234,92950,2.88,12170,35340,2.9
"310M100US22180",22180,"Fayetteville, NC  Metro Area",366383,112078,2166,138963,95558,48026,54551,25325,2.56,3.08,153735,138963,14772,6906,2478,437,522,4083,80053,207809,2.6,58910,147747,2.51
"310M100US22220",22220,"Fayetteville-Springdale-Rogers, AR-MO  Metro Area",463204,136009,2828,173054,118032,57364,62728,36467,2.62,3.15,198298,173054,25244,10235,4347,691,3543,6119,109616,295172,2.69,63438,158172,2.49
"310M100US22260",22260,"Fergus Falls, MN  Micro Area",57303,14599,774,24055,16148,5866,6257,7916,2.33,2.84,35594,24055,11539,476,489,99,9635,803,19059,46382,2.43,4996,9733,1.95
"310M100US22280",22280,"Fernley, NV  Micro Area",51980,14388,293,19808,14137,5817,6570,5958,2.61,3.02,22547,19808,2739,646,695,103,320,940,14379,36115,2.51,5429,15507,2.86
"310M100US22300",22300,"Findlay, OH  Micro Area",74782,20555,692,30197,19884,8498,9284,7466,2.42,2.94,33174,30197,2977,1188,519,126,161,938,21250,53382,2.51,8947,19706,2.2
"310M100US22340",22340,"Fitzgerald, GA  Micro Area",27172,7917,910,10289,7205,3090,3716,2865,2.55,3.07,11975,10289,1686,446,168,62,234,758,6776,17197,2.54,3513,9004,2.56
"310M100US22380",22380,"Flagstaff, AZ  Metro Area",134421,35364,684,46711,29656,13195,15467,8784,2.69,3.26,63321,46711,16610,1279,854,96,12057,2197,28443,78857,2.77,18268,46730,2.56
"310M100US22420",22420,"Flint, MI  Metro Area",425790,129653,2586,169202,111620,49511,56116,42680,2.48,3.03,192180,169202,22978,7906,3796,695,1088,9184,118945,301696,2.54,50257,118121,2.35
"310M100US22500",22500,"Florence, SC  Metro Area",205566,60040,2243,79184,54880,22843,27575,20369,2.54,3.06,88963,79184,9779,3151,1340,364,761,3979,54526,138747,2.54,24658,62246,2.52
"310M100US22520",22520,"Florence-Muscle Shoals, AL  Metro Area",147137,39670,1016,61453,41111,16104,18267,18024,2.36,2.9,69549,61453,8096,1905,1000,422,1705,2957,43499,105724,2.43,17954,39048,2.17
"310M100US22540",22540,"Fond du Lac, WI  Metro Area",101633,27755,1631,40697,26994,11384,12144,10483,2.41,2.93,43910,40697,3213,997,592,94,934,531,29407,74684,2.54,11290,23360,2.07
"310M100US22580",22580,"Forest City, NC  Micro Area",67810,17842,961,27466,18832,7191,8462,8371,2.42,2.91,33878,27466,6412,1107,543,173,2689,1830,19769,48312,2.44,7697,18275,2.37
"310M100US22620",22620,"Forrest City, AR  Micro Area",28258,7644,4041,9616,6531,2791,3388,2602,2.51,3.08,10903,9616,1287,338,116,47,94,673,5613,14062,2.51,4003,10111,2.53
"310M100US22660",22660,"Fort Collins-Loveland, CO  Metro Area",299630,74622,1998,120295,74993,32355,34711,24894,2.42,2.94,132722,120295,12427,2252,1581,281,6765,1363,78741,197941,2.51,41554,93159,2.24
"310M100US22700",22700,"Fort Dodge, IA  Micro Area",38013,9638,1756,15580,9584,4027,4379,4440,2.27,2.87,17035,15580,1455,530,297,71,105,430,11100,26352,2.37,4480,9034,2.02
"310M100US22780",22780,"Fort Leonard Wood, MO  Micro Area",52274,13487,238,16004,11308,5968,6514,2770,2.64,3.14,17904,16004,1900,656,219,37,211,729,9234,24776,2.68,6770,17509,2.59
"310M100US22800",22800,"Fort Madison-Keokuk, IA-MO  Micro Area",43001,11197,1583,17543,11571,4568,5094,5113,2.36,2.87,19678,17543,2135,592,219,115,358,816,13060,31729,2.43,4483,9588,2.14
"310M100US22820",22820,"Fort Morgan, CO  Micro Area",28159,8678,549,10294,7202,3429,3815,2788,2.68,3.23,11490,10294,1196,347,179,33,269,347,6691,18188,2.72,3603,9407,2.61
"310M100US22840",22840,"Fort Payne, AL  Micro Area",71109,21073,630,26842,19361,8372,9532,7130,2.62,3.11,31109,26842,4267,892,448,211,850,1816,20184,53149,2.63,6658,17178,2.58
"310M100US22860",22860,"Fort Polk South, LA  Micro Area",52334,15703,286,19165,13714,7029,7800,3660,2.61,3.11,21433,19165,2268,599,146,106,401,989,10695,27375,2.56,8470,22701,2.68
"310M100US22900",22900,"Fort Smith, AR-OK  Metro Area",298592,86013,3555,115169,79997,34692,39681,30093,2.55,3.06,128891,115169,13722,3957,1795,586,2088,5121,79262,205247,2.59,35907,88091,2.45
"310M100US22980",22980,"Fort Valley, GA  Micro Area",27695,7587,13,9958,6934,2888,3444,2410,2.58,3.07,11050,9958,1092,376,175,43,63,419,6596,17037,2.58,3362,8630,2.57
"310M100US23060",23060,"Fort Wayne, IN  Metro Area",416257,129393,4241,161632,107804,50896,55507,36230,2.53,3.1,178124,161632,16492,6523,2935,683,1239,4816,114989,303458,2.64,46643,105784,2.27
"310M100US23140",23140,"Frankfort, IN  Micro Area",33224,10045,797,12105,8754,3848,4369,3048,2.68,3.13,13321,12105,1216,461,212,64,37,431,8711,23205,2.66,3394,9189,2.71
